Week,DJI,DJV,S&P,FTSE,FTV,STI,STIV,SG/D,P/D,SGPRIME,UKPRIME,USPRIME,USINF,UKINF,SGINF,DJI_Forecast,DJV_Forecast,S&P_Forecast,FTSE_Forecast,FTV_Forecast,STI_Forecast,STIV_Forecast,SG/D_Forecast,P/D_Forecast,SGPRIME_Forecast,UKPRIME_Forecast,USPRIME_Forecast,USINF_Forecast,UKINF_Forecast,SGINF_Forecast
1,1899.04,68587.4,246.58,1644.4,574860.0,915.99,162617.0,0.4558,1.4235,5.5,12.0,7.5,1.29,3.55,-1.38,,,,,,,,,,,,,,,
2,1893.7,86964.2,246.64,1654.3,571831.0,896.71,110285.0,0.4569,1.4269999999999998,5.5,12.0,7.5,1.29,3.55,-1.38,,,,,,,,,,,,,,,
3,1826.63,95828.4,237.66,1604.3,463667.0,888.08,105946.0,0.4572,1.4188,5.5,12.0,7.5,1.29,3.55,-1.38,,,,,,,,,,,,,,,
4,1916.76,113586.9,248.77,1633.2,500029.0,882.68,80790.0,0.457,1.4255,5.5,12.0,7.5,1.29,3.55,-1.38,,,,,,,,,,,,,,,
5,1947.27,72906.4,253.83,1615.1,486555.0,888.81,72660.0,0.457,1.431,5.5,12.0,7.5,1.13,3.75,-1.38,1960.8045840454101,62199.944921874994,255.59999878883363,1624.797464942932,521614.34375,892.8490119552612,892.8490119552612,0.45737228758446874,1.432236793352291,5.481761649250984,11.97834849357605,7.523578746244311,1.2161688256263732,3.7866363525390625,3.7866363525390625
6,1932.93,76387.6,250.96,1634.6,1801439.0,885.22,67559.0,0.4567,1.426,5.5,12.0,7.5,1.13,3.75,-1.38,1947.0841080474854,76267.52591094971,252.78703018188477,1647.780061340332,1829451.201171875,888.224508972168,888.224508972168,0.45660432827326003,1.4249541636314242,5.469430789351463,11.982024908065796,7.513165249489248,1.2030811432003974,3.7606369014829397,3.7606369014829397
7,1918.31,92524.9,247.56,1636.3,1518858.0,890.03,58143.0,0.456,1.4292,5.5,12.0,7.5,1.13,3.75,-1.38,1942.330923614502,92140.50592651367,250.0399244403839,1658.6790645599365,1357807.015625,902.8595612335205,902.8595612335205,0.4561683520677034,1.436463535168022,5.447110339999199,12.011449337005615,7.514777540229261,1.2074059072136878,3.8139812499284744,3.8139812499284744
8,1926.88,136470.2,246.75,1665.1,826707.0,902.29,59720.0,0.4568,1.4575,5.5,12.0,7.5,1.13,3.75,-1.38,1929.943569545746,128095.82695312501,246.96612498164177,1676.0815187454223,678513.03125,910.2543363952636,910.2543363952636,0.45725023750863036,1.4677178119122982,5.483775094151497,12.013726592063904,7.51471412088722,1.2273063334822654,3.820206642150879,3.820206642150879
9,1895.95,43656.9,242.17,1679.0,826707.0,891.3,45559.0,0.4614,1.483,5.5,12.0,7.5,1.13,3.75,-1.38,1900.293773841858,25979.54453125,242.68664370298384,1689.4162559509277,796901.7734375,898.7019036293029,898.7019036293029,0.46234689737306905,1.492910528548062,5.52631351351738,11.983286321163177,7.530048979446292,1.249634263217449,3.828996278345585,3.828996278345585
10,1993.95,36121.4,255.33,1722.2,826707.0,893.25,68427.0,0.4607,1.472,5.5,12.0,7.5,1.43,3.95,-0.69,2018.3479778289795,44927.6890625,259.37946899414067,1731.9387018203736,984055.859375,887.9289622306824,887.9289622306824,0.4602315811538603,1.4635350275114178,5.461378052830696,11.921675145626068,7.540197119116783,1.5067755433917045,3.95196228036657,3.95196228036657
11,2035.01,124035.8,262.64,1765.2,1229646.0,957.97,206048.0,0.4669,1.5045,5.5,12.0,7.5,1.43,3.95,-0.69,2048.151392707825,137404.0197265625,264.74834980010985,1776.3650886535645,1353270.1640625,965.8152682495117,965.8152682495117,0.46648424206124617,1.4997228721231222,5.447917386889458,11.967387974262238,7.550634082406759,1.4955820071697234,3.9755216602236034,3.9755216602236034
12,2094.07,143895.5,267.84,1761.6,1064254.0,948.21,149155.0,0.4664,1.517,5.5,12.0,7.5,1.43,3.95,-0.69,2111.376890487671,140810.29248046875,269.27654978275297,1780.1616455078124,1024115.3515625,969.8345079040528,969.8345079040528,0.46692025559125466,1.5222763395942747,5.5160712748765945,12.046135544776917,7.547897037118673,1.5075073319673538,4.070743557810784,4.070743557810784
13,2163.39,129209.7,275.4,1812.1,1034490.0,949.02,95979.0,0.4708,1.54,5.5,12.0,7.5,1.43,3.95,-0.69,2198.665276184082,127074.66875,278.87745585441587,1843.002826309204,1079795.046875,978.6182303619385,978.6182303619385,0.4717551763650961,1.5499530993029476,5.5082700699567795,12.020269393920898,7.542336266487837,1.52064432233572,4.016777609288693,4.016777609288693
14,2191.23,128562.1,279.64,1846.7,962313.0,972.97,137528.0,0.4695,1.5219999999999998,5.5,12.0,7.5,2.11,3.93,-1.04,2236.0893788146973,131873.65029296876,284.4039298439026,1882.0602905273438,1037692.1953125,1003.0829093170166,1003.0829093170166,0.47048122702911493,1.529357245776802,5.4953146278858185,11.986042380332947,7.544393952935934,2.2170832833647727,3.991145018786192,3.991145018786192
15,2171.96,102896.5,277.54,1895.8,1427834.0,993.11,195100.0,0.4673,1.5235,5.5,12.0,7.5,2.11,3.93,-1.04,2187.4692658996582,111166.6357421875,279.6906750583649,1911.6080654144287,1520646.734375,1014.4560807800293,1014.4560807800293,0.46719317473227856,1.527158285131678,5.438975274562836,12.00580894947052,7.535759329795837,2.165878650397062,3.960410384759307,3.960410384759307
16,2237.63,102947.8,285.42,1952.0,1362403.0,1029.59,302088.0,0.4668,1.5330000000000001,5.5,12.0,7.5,2.11,3.93,-1.04,2244.6540483283998,115759.0958984375,285.89148725390436,1956.990523815155,1285461.375,1036.9881733322143,1036.9881733322143,0.4668290601492452,1.5390990476049484,5.479054108262062,11.997081458568573,7.536709159612656,2.160921119749546,3.954892617017031,3.954892617017031
17,2226.24,112367.8,284.0,1973.1,1039377.0,1056.8,269679.0,0.4678,1.5401,5.5,12.0,7.5,2.11,3.93,-1.04,2224.5750287675855,120721.341015625,283.1859202980995,1974.8042970657348,953912.5859375,1063.3706648826599,1063.3706648826599,0.46800624564785975,1.5464522448763252,5.514195516705513,11.99834007024765,7.530706016346812,2.1667456297576426,3.965680960863829,3.965680960863829
18,2257.45,87915.1,288.62,2002.7,1184695.0,1066.0,239094.0,0.4679,1.5593,5.5,12.0,7.5,3.04,4.03,-0.7,2267.2486621856688,87728.01766357422,290.07472145080567,2016.235632133484,1180590.8920898438,1074.1591176986694,1074.1591176986694,0.4676226399136707,1.5593219624507735,5.492855861783028,11.97952288389206,7.532839119434357,3.122321621477604,4.082593994885683,4.082593994885683
