Week,SG/D,P/D,P/SG,SG/D_Forecast,P/D_Forecast,P/SG_Forecast,%delta_SG/D,%delta_SG/D_Forecast,%delta_P/D,%delta_P/D_Forecast,%delta_P/SG,%delta_P/SG_Forecast,SE_SG/D,SE_P/D,SE_P/SG,APE_SG/D,APE_P/D,APE_P/SG,MAPE,MAPE_SG/D,MAPE_P/D,MAPE_P/SG
1,0.4558,1.4235,3.123080298376481,,,,,,,,,,,,,,,,,,,
2,0.4569,1.4269999999999998,3.1232217115342524,,,,0.24133391838525448,,0.24587284861256317,,0.004528002621155406,,,,,,,,,,,
3,0.4572,1.4188,3.1032370953630797,,,,0.06565988181221766,,-0.5746320953048188,,-0.639871838024445,,,,,,,,,,,
4,0.457,1.4255,3.1192560175054704,,,,-0.04374453193350349,,0.47223005356638903,,0.5162003949465078,,,,,,,,,,,
5,0.457,1.431,3.1312910284463893,0.4573722875844688,1.432236793352291,3.131446377996353,0.0,0.08146336640454657,0.38582953349702287,0.47259160661459476,0.38582953349701277,0.39080987333098965,1.385980455495974e-07,1.5296577962711799e-06,2.4133482673876275e-08,0.08146336640454657,0.08642860603011795,0.0049611980666205814,,0.08146336640454657,0.08642860603011795,0.0049611980666205814
6,0.4567,1.426,3.122399824830304,0.45660432827326,1.4249541636314242,3.1207635920144945,-0.06564551422319966,-0.0865802465514318,-0.3494060097833763,-0.42249031226944844,-0.2839468939588319,-0.33620114950216096,9.153079297417228e-09,1.093773709835591e-06,2.6772578275325815e-06,0.020948484068320755,0.07334055880614952,0.05240305238290995,,0.051205925236433664,0.07988458241813373,0.028682125224765268
7,0.456,1.4292,3.1342105263157896,0.4561683520677034,1.436463535168022,3.148976750922926,-0.15327348368731736,-0.11641075811180146,0.22440392706873014,0.733768244601824,0.3782571787111613,0.8511698559958135,2.834241870000384e-08,5.275894313709118e-05,0.000218041389148397,0.036919313092846746,0.5082238432704952,0.47113059199931034,,0.04644372118857135,0.22266433603558755,0.17616494748294695
8,0.4568,1.4575,3.190674255691769,0.4572502375086304,1.4677178119122982,3.209878730537774,0.17543859649122093,0.2741748922435094,1.9801287433529242,2.695061007017786,1.8015295686710515,2.414266801373141,2.027138141777415e-07,0.00010440368027510305,0.0003688118541108372,0.09856337754606734,0.7010505600204598,0.6018939354823372,,0.05214372490241161,0.42753832069903486,0.37514252662151915
9,0.4614,1.483,3.2141309059384486,0.462346897373069,1.492910528548062,3.228983555486971,1.0070052539404537,1.2142945212497844,1.749571183533453,2.42953883691677,0.7351628015563094,1.20066470987638,8.96614635125015e-07,9.821857610194887e-05,0.00022060119861122234,0.20522266429757746,0.6682756944074071,0.4621046865602313,,0.11356845164549717,0.6258500325661207,0.5117097380139596
10,0.4607,1.472,3.1951378337312786,0.4602315811538603,1.4635350275114178,3.179996956841044,-0.15171218032075823,-0.2532333866795975,-0.741739716790298,-1.3125402891828897,-0.5909240402149875,-1.0619962315267966,2.1941621541883325e-07,7.165575923245241e-05,0.00022924615300523279,0.1016754604166886,0.5750660658004167,0.4738724173458538,,0.1351538340867778,0.6481307734094278,0.5126236797961408
11,0.4669,1.5045,3.2223174127222105,0.4664842420612462,1.4997228721231222,3.2149486239799256,1.3457781636639858,1.255533332156767,2.207880434782607,1.8833472909729747,0.8506543506197242,0.6200292844804147,1.7285466363677358e-07,2.282095075204285e-05,5.4299047528424084e-05,0.0890464636439833,0.31752262392009206,0.22867979154355603,,0.1319815294527498,0.5202881280426387,0.38821896514988036
12,0.4664,1.517,3.252572898799314,0.4669202555912546,1.5222763395942749,3.2602490925707164,-0.10708931248661394,0.004338314682935403,0.8308408109006284,1.1815446722681913,0.9389356230906989,1.177155288884506,2.706658802317003e-07,2.7839759514113876e-05,5.8923950816118464e-05,0.11154708217294723,0.3478140800444945,0.23600374258286905,,0.10075633541120638,0.41346758992166777,0.3128519838240929
13,0.4708,1.54,3.2710280373831777,0.4717551763650961,1.5499530993029476,3.28550311041722,0.9433962264150976,1.1481939033224995,1.5161502966381102,2.172254403622126,0.5674012284452268,1.0124357744621924,9.123618884382402e-07,9.906418573433443e-05,0.000209527739340861,0.2028836799269588,0.6463051495420469,0.4425236613264386,,0.13449240858129644,0.4372139511688778,0.3024023984842879
14,0.4695,1.5219999999999998,3.2417465388711393,0.4704812270291149,1.5293572457768017,3.250623314843039,-0.27612574341546803,-0.06770878735877597,-1.1688311688311843,-0.6910879365713234,-0.8951772402251748,-0.6238015176556755,9.62806482665665e-07,5.412906542026877e-05,7.879715165529246e-05,0.20899404240999064,0.4833932836269289,0.2738269591857306,,0.1744749348366322,0.4925041710711567,0.31745145436501276
